#id RA DEC X Y F115W F115W_err F150W F150W_err F200W F200W_err F277W F277W_err F356W F356W_err F410M F410M_err F444W F444W_err
1 214.9477999 52.9749341 3145.6064 479.3434 23.323 0.0119 22.1565 0.0036 21.6014 0.0018 19.821 0.0008 19.6257 0.0006 19.5246 0.0009 19.5168 0.0007
2 214.9817312 52.9986886 6798.8784 509.9869 19.8626 0.0007 19.4967 0.0005 19.0246 0.0003 17.3906 0.0001 17.3579 0.0001 17.5296 0.0002 17.7463 0.0002
3 214.9491017 52.9765339 3347.1006 428.7529 22.7819 0.004 22.5985 0.003 22.3849 0.0021 21.0671 0.0011 20.9738 0.001 21.0799 0.0016 21.2605 0.0015
4 214.9308098 52.9633748 1345.8724 437.7713 20.9349 0.0011 20.4954 0.0008 20.0497 0.0005 18.415 0.0002 18.2549 0.0002 18.3265 0.0003 18.461 0.0002
5 214.9426603 52.9738908 2819.7439 282.186 19.9284 0.0007 19.6937 0.0005 19.4006 0.0003 18.0392 0.0002 18.3452 0.0002 18.5972 0.0004 18.7308 0.0003
6 214.9293355 52.965009 1424.6455 235.6924 18.8682 0.0004 18.6315 0.0003 18.3888 0.0002 17.3605 0.0001 17.8195 0.0002 17.7871 0.0003 17.954 0.0002
7 214.9964297 53.0124806 8692.9053 258.6249 21.7124 0.0023 21.5571 0.0017 21.2664 0.0011 19.7399 0.0005 19.8548 0.0005 20.1554 0.001 20.3283 0.0009
8 214.9512104 52.9805955 3804.4265 236.1312 21.0582 0.0016 20.6862 0.0011 20.3883 0.0007 18.9025 0.0003 18.7661 0.0002 18.7862 0.0004 18.9666 0.0003
9 214.9878148 53.0069302 7808.3574 215.2433 0.0 0.0 23.063 0.0109 0.0 0.0 21.6119 0.004 21.5846 0.0041 21.6914 0.0041 21.6718 0.0029
10 214.9904351 53.0092848 8136.7285 178.2632 25.392 0.046 0.0 0.0 0.0 0.0 0.0 0.0 20.0954 0.0251 20.6517 0.0022 20.5821 0.0012
11 214.926477 52.96306 1121.4659 228.9421 22.8088 0.0042 22.7645 0.0034 22.5768 0.0024 21.1867 0.0013 21.3324 0.0014 21.4217 0.003 21.7275 0.0025
12 214.9160568 52.9563879 54.759 171.6448 24.7575 0.0217 23.8293 0.0107 22.8921 0.003 0.0 0.0 0.0 0.0 19.9995 0.0013 19.9577 0.0009
13 214.9400277 52.9734534 2661.4692 173.8936 22.4524 0.0021 21.9521 0.0014 21.4858 0.0009 19.8732 0.0004 19.6445 0.0003 19.6346 0.0004 19.7916 0.0004
14 214.9319137 52.9676332 1775.2766 176.5757 24.1509 0.0083 23.9989 0.0065 23.8536 0.0044 22.4109 0.0021 22.3222 0.002 22.2081 0.0031 22.2816 0.0026
15 214.948753 52.9797637 3618.9802 166.9522 24.7872 0.0143 24.0022 0.0064 23.3578 0.0031 21.7117 0.0012 21.4088 0.0009 21.2061 0.0013 21.2529 0.001
16 214.9912074 53.0094405 8185.5947 207.9055 21.468 0.0013 20.8917 0.0011 20.4398 0.0007 18.8083 0.004 19.0344 0.0005 19.3602 0.0006 19.4687 0.0005
17 214.9927875 53.0114965 8440.2334 137.6839 0.0 0.0 18.144 0.0003 17.9153 0.0002 0.0 0.0 0.0 0.0 17.6618 0.0007 17.8248 0.0005
